Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 10:44:59.822,COM4, 0.183, -0.183,
 10:44:59.822,COM4, 0.427, -0.488,
 10:44:59.824,COM4, 0.549, -0.61,
 10:44:59.824,COM4, 0.366, -0.366,
 10:44:59.826,COM4, 0.366, -0.366,
 10:44:59.826,COM4, 0.061, -0.244,
 10:44:59.828,COM4, -0.244, -0.244,
 10:44:59.828,COM4, -0.854, -0.549,
 10:44:59.852,COM4, -1.221, -0.671,
 10:44:59.852,COM4, -0.488, -0.061,
 10:44:59.884,COM4, -0.732, 0.671,
 10:44:59.884,COM4, -1.038, 1.099,
 10:44:59.912,COM4, -0.488, 0.427,
 10:44:59.912,COM4, -0.732, 0.305,
 10:45:00.002,COM4, -0.366, 0.671,
 10:45:00.002,COM4, 0.793, 0.549,
 10:45:00.004,COM4, 0.183, 0.61,
 10:45:00.004,COM4, -1.16, 1.221,
 10:45:00.242,COM4, -2.38, 2.136,
 10:45:00.242,COM4, -3.113, 2.625,
 10:45:00.244,COM4, -3.784, 2.808,
 10:45:00.244,COM4, -4.15, 2.563,
 10:45:00.244,COM4, -4.944, 3.174,
 10:45:00.244,COM4, -4.822, 3.418,
 10:45:00.246,COM4, -5.066, 2.563,
 10:45:00.246,COM4, -6.042, 3.235,
 10:45:00.302,COM4, -4.272, 4.028,
 10:45:00.302,COM4, 2.197, 2.625,
 10:45:00.304,COM4, 4.639, 2.319,
 10:45:00.304,COM4, 5.188, 2.014,
 10:45:00.306,COM4, 7.568, 0.244,
 10:45:00.306,COM4, 7.263, 0.061,
 10:45:00.362,COM4, 5.188, 1.16,
 10:45:00.362,COM4, 3.052, 1.709,
 10:45:00.364,COM4, 2.075, 1.526,
 10:45:00.364,COM4, 0.549, 0.427,
 10:45:00.392,COM4, -0.427, 0.427,
 10:45:00.392,COM4, -2.014, 0.977,
 10:45:00.484,COM4, -3.662, 1.648,
 10:45:00.484,COM4, -5.432, 2.441,
 10:45:00.484,COM4, -8.24, 3.662,
 10:45:00.484,COM4, -8.911, 3.54,
 10:45:00.572,COM4, -7.385, 2.197,
 10:45:00.572,COM4, -5.859, -0.427,
 10:45:00.574,COM4, -5.432, -1.038,
 10:45:00.574,COM4, -2.319, -1.953,
 10:45:00.602,COM4, 3.784, -1.77,
 10:45:00.602,COM4, 2.197, -2.869,
 10:45:00.632,COM4, -4.578, -1.526,
 10:45:00.632,COM4, -5.31, -1.343,
 10:45:00.814,COM4, -3.54, -1.526,
 10:45:00.814,COM4, 1.282, -3.479,
 10:45:00.814,COM4, 8.24, -5.859,
 10:45:00.814,COM4, 12.573, -8.423,
 10:45:00.816,COM4, 13.245, -8.057,
 10:45:00.816,COM4, 12.451, -5.92,
 10:45:00.818,COM4, 11.841, -6.653,
 10:45:00.818,COM4, 9.644, -8.118,
 10:45:00.872,COM4, 12.695, -10.925,
 10:45:00.872,COM4, 23.438, -16.541,
 10:45:00.964,COM4, 26.917, -19.653,
 10:45:00.964,COM4, 34.058, -32.898,
 10:45:00.964,COM4, 40.955, -59.692,
 10:45:00.964,COM4, 48.462, -107.788,
 10:45:00.966,COM4, 93.384, -170.105,
 10:45:00.966,COM4, -23.254, -135.254,
 10:45:01.024,COM4, -73.425, -23.621,
 10:45:01.024,COM4, -141.785, 12.756,
 10:45:01.052,COM4, -192.261, 26.611,
 10:45:01.052,COM4, -209.29, 50.232,
 10:45:01.082,COM4, -209.717, 82.214,
 10:45:01.082,COM4, -195.19, 125.793,
 10:45:01.172,COM4, -164.368, 156.006,
 10:45:01.172,COM4, -128.235, 135.071,
 10:45:01.174,COM4, -65.918, 39.246,
 10:45:01.174,COM4, 32.715, -104.37,
 10:45:01.442,COM4, 162.17, -204.163,
 10:45:01.442,COM4, 294.434, -236.45,
 10:45:01.444,COM4, 412.72, -197.266,
 10:45:01.444,COM4, 480.835, 52.49,
 10:45:01.446,COM4, 560.364, 392.456,
 10:45:01.446,COM4, 667.358, 536.865,
 10:45:01.446,COM4, 405.334, 480.408,
 10:45:01.446,COM4, 189.941, 114.197,
 10:45:01.564,COM4, 283.875, 131.348,
 10:45:01.564,COM4, 218.201, 44.25,
 10:45:01.564,COM4, 121.887, -277.405,
 10:45:01.564,COM4, 34.119, -349.609,
 10:45:01.566,COM4, 46.509, -95.276,
 10:45:01.566,COM4, 33.264, 85.144,
 10:45:01.622,COM4, -1.221, 37.659,
 10:45:01.622,COM4, -45.654, -114.868,
 10:45:01.622,COM4, -97.9, -203.796,
 10:45:01.622,COM4, -112.366, -108.521,
 10:45:01.626,COM4, -124.756, -6.714,
 10:45:01.626,COM4, -148.438, -70.923,
 10:45:01.626,COM4, -169.556, -188.11,
 10:45:01.626,COM4, -178.528, -144.104,
 10:45:01.682,COM4, -209.106, -0.488,
 10:45:01.682,COM4, -251.526, 88.44,
 10:45:01.684,COM4, -247.559, 149.109,
 10:45:01.684,COM4, -228.699, 254.089,
 10:45:01.742,COM4, -218.994, 370.667,
 10:45:01.742,COM4, -189.819, 420.471,
 10:45:01.772,COM4, -135.498, 416.443,
 10:45:01.772,COM4, -45.105, 443.115,
 10:45:01.802,COM4, 40.955, 360.84,
 10:45:01.802,COM4, 80.2, 136.414,
 10:45:01.862,COM4, 33.508, -53.711,
 10:45:01.862,COM4, 20.508, -148.438,
 10:45:01.894,COM4, 60.791, -152.222,
 10:45:01.894,COM4, 72.571, -12.451,
 10:45:02.132,COM4, 51.819, 81.848,
 10:45:02.132,COM4, -25.269, 0.671,
 10:45:02.134,COM4, -57.8, -53.833,
 10:45:02.134,COM4, 22.522, 50.476,
 10:45:02.136,COM4, -49.683, 39.124,
 10:45:02.136,COM4, -2.319, 12.878,
 10:45:02.136,COM4, 12.024, 13.428,
 10:45:02.136,COM4, 18.433, 13.55,
 10:45:02.162,COM4, -2.014, 4.028,
 10:45:02.162,COM4, -2.502, 8.85,
 10:45:02.164,COM4, 12.512, 17.395,
 10:45:02.164,COM4, 15.93, 12.573,
 10:45:02.164,COM4, 9.644, -4.15,
 10:45:02.164,COM4, 7.812, -4.456,
 10:45:02.224,COM4, 3.601, 7.629,
 10:45:02.224,COM4, 1.404, 11.23,
 10:45:02.282,COM4, 2.93, 5.798,
 10:45:02.282,COM4, 4.7, 0.916,
 10:45:02.284,COM4, 6.592, -1.221,
 10:45:02.284,COM4, 6.653, -0.671,
 10:45:02.342,COM4, 5.31, 1.77,
 10:45:02.342,COM4, 2.869, 5.127,
 10:45:02.402,COM4, 1.587, 3.357,
 10:45:02.402,COM4, -1.038, 0.61,
 10:45:02.522,COM4, -3.906, 1.892,
 10:45:02.522,COM4, -5.676, 4.333,
 10:45:02.524,COM4, -6.287, 5.615,
 10:45:02.524,COM4, -4.883, 6.592,
 10:45:02.526,COM4, 1.221, 3.784,
 10:45:02.526,COM4, 3.418, 1.16,
 10:45:02.526,COM4, 3.479, -0.549,
 10:45:02.526,COM4, 1.77, -0.732,
 10:45:02.644,COM4, -1.831, 0.122,
 10:45:02.644,COM4, -2.686, 0.122,
 10:45:02.672,COM4, -0.732, -0.427,
 10:45:02.672,COM4, 0.732, 0,
 10:45:02.702,COM4, 0.488, 0.122,
 10:45:02.702,COM4, -0.427, -0.366,
 10:45:02.704,COM4, -0.977, -0.305,
 10:45:02.704,COM4, -0.244, -0.244,
 10:45:02.792,COM4, 3.357, -1.343,
 10:45:02.792,COM4, 7.568, -2.869,
 10:45:02.822,COM4, 8.179, -2.991,
 10:45:02.822,COM4, 7.446, -2.991,
 10:45:02.882,COM4, 6.348, -3.052,
 10:45:02.882,COM4, 3.906, -2.258,
 10:45:02.882,COM4, 2.747, -1.343,
 10:45:02.882,COM4, 1.587, -0.854,
 10:45:03.004,COM4, 1.16, -1.16,
 10:45:03.004,COM4, -0.427, -1.404,
 10:45:03.032,COM4, -3.723, -0.61,
 10:45:03.032,COM4, -1.892, -1.343,
 10:45:03.034,COM4, 1.587, -4.7,
 10:45:03.034,COM4, 4.211, -4.7,
 10:45:03.092,COM4, 14.526, -5.127,
 10:45:03.092,COM4, 13, -12.268,
 10:45:03.094,COM4, -6.226, -32.166,
 10:45:03.094,COM4, -28.809, -50.293,
 10:45:03.094,COM4, -91.003, -96.313,
 10:45:03.094,COM4, -74.585, -75.439,
 10:45:03.154,COM4, -88.989, -84.412,
 10:45:03.154,COM4, -119.995, -109.436,
 10:45:03.182,COM4, -138.611, -147.644,
 10:45:03.182,COM4, -135.62, -148.193,
 10:45:03.213,COM4, -126.16, -156.799,
 10:45:03.213,COM4, -89.844, -208.13,
 10:45:03.393,COM4, -62.5, -275.33,
 10:45:03.393,COM4, -30.762, -311.89,
 10:45:03.393,COM4, 1.465, -357.422,
 10:45:03.393,COM4, 35.217, -408.813,
 10:45:03.395,COM4, 49.866, -334.229,
 10:45:03.395,COM4, 85.51, -119.629,
 10:45:03.397,COM4, 162.964, 270.935,
 10:45:03.397,COM4, 328.064, 531.189,
 10:45:03.483,COM4, 533.508, 541.748,
 10:45:03.483,COM4, 242.188, 228.516,
 10:45:03.485,COM4, 247.375, 92.529,
 10:45:03.485,COM4, 310.181, 159.607,
 10:45:03.573,COM4, 199.097, 41.809,
 10:45:03.573,COM4, 51.025, -242.371,
 10:45:03.603,COM4, 10.803, -224.548,
 10:45:03.603,COM4, 15.625, 35.828,
 10:45:03.605,COM4, -1.221, 202.087,
 10:45:03.605,COM4, -33.142, 73.547,
 10:45:03.663,COM4, -58.105, -155.029,
 10:45:03.663,COM4, -36.682, -184.57,
 10:45:03.665,COM4, -20.935, -45.654,
 10:45:03.665,COM4, -49.5, 8.179,
 10:45:03.811,COM4, -125.061, -120.972,
 10:45:03.811,COM4, -168.396, -254.395,
 10:45:03.813,COM4, -188.477, -226.257,
 10:45:03.813,COM4, -234.192, -100.647,
 10:45:03.841,COM4, -287.048, 4.028,
 10:45:03.841,COM4, -310.547, 101.99,
 10:45:03.845,COM4, -284.119, 236.511,
 10:45:03.845,COM4, -250.61, 377.563,
 10:45:03.873,COM4, -222.107, 461.243,
 10:45:03.873,COM4, -151.062, 451.599,
 10:45:03.903,COM4, -78.003, 418.152,
 10:45:03.903,COM4, -35.217, 358.887,
 10:45:03.963,COM4, -26.062, 282.654,
 10:45:03.963,COM4, 48.523, 225.891,
 10:45:03.993,COM4, 46.814, 124.268,
 10:45:03.993,COM4, 26.062, -5.615,
 10:45:04.023,COM4, 28.076, -58.716,
 10:45:04.023,COM4, -88.501, 28.503,
 10:45:04.083,COM4, -44.373, 125.671,
 10:45:04.083,COM4, 58.777, 71.411,
 10:45:04.113,COM4, -1.831, -66.833,
 10:45:04.113,COM4, -16.174, -98.083,
 10:45:04.173,COM4, 82.397, 85.205,
 10:45:04.173,COM4, -64.331, 58.044,
 10:45:04.203,COM4, 54.688, 43.579,
 10:45:04.203,COM4, 43.823, 45.471,
 10:45:04.261,COM4, 25.024, 19.958,
 10:45:04.261,COM4, 5.798, -5.615,
 10:45:04.321,COM4, 1.282, 2.808,
 10:45:04.321,COM4, 2.563, 6.958,
 10:45:04.323,COM4, 1.648, 5.31,
 10:45:04.323,COM4, 5.432, 2.991,
 10:45:04.353,COM4, 3.479, -0.427,
 10:45:04.353,COM4, -0.244, -0.793,
 10:45:04.383,COM4, -4.028, 2.014,
 10:45:04.383,COM4, -3.723, 0.854,
 10:45:04.443,COM4, -4.578, 1.709,
 10:45:04.443,COM4, -3.479, 2.502,
 10:45:04.473,COM4, -2.93, 1.587,
 10:45:04.473,COM4, -5.005, 3.296,
 10:45:04.503,COM4, -7.263, 6.653,
 10:45:04.503,COM4, -9.583, 5.859,
 10:45:04.563,COM4, -9.827, 4.395,
 10:45:04.563,COM4, -8.545, 4.028,
 10:45:04.593,COM4, -7.568, 4.822,
 10:45:04.593,COM4, -7.08, 5.92,
 10:45:04.653,COM4, -1.16, 3.662,
 10:45:04.653,COM4, 14.587, -4.028,
 10:45:04.713,COM4, 18.677, -5.676,
 10:45:04.713,COM4, 13.062, -4.333,
 10:45:04.715,COM4, 4.211, -3.479,
 10:45:04.715,COM4, -1.831, -0.488,
 10:45:04.743,COM4, -1.587, 0.61,
 10:45:04.743,COM4, 1.709, -1.343,
 10:45:04.834,COM4, 8.789, -4.517,
 10:45:04.834,COM4, 10.498, -3.906,
 10:45:04.834,COM4, 8.85, -1.709,
 10:45:04.834,COM4, 9.094, -1.831,
 10:45:04.894,COM4, 7.141, -1.892,
 10:45:04.894,COM4, 5.31, -1.892,
 10:45:04.924,COM4, 8.301, -5.31,
 10:45:04.924,COM4, 12.817, -8.057,
 10:45:04.982,COM4, 18.188, -10.681,
 10:45:04.982,COM4, 20.691, -13.733,
 10:45:04.984,COM4, 16.724, -17.578,
 10:45:04.984,COM4, 8.728, -26.917,
 10:45:05.042,COM4, -1.221, -53.406,
 10:45:05.042,COM4, -6.958, -97.595,
 10:45:05.072,COM4, 19.348, -131.897,
 10:45:05.072,COM4, -53.65, -109.558,
 10:45:05.102,COM4, -30.396, 106.079,
 10:45:05.102,COM4, -156.677, 155.945,
 10:45:05.164,COM4, -251.892, 89.539,
 10:45:05.164,COM4, -301.758, -1.221,
 10:45:05.222,COM4, -261.353, -63.416,
 10:45:05.222,COM4, -221.008, -79.285,
 10:45:05.404,COM4, -203.613, -132.812,
 10:45:05.404,COM4, -208.008, -259.094,
 10:45:05.404,COM4, -211.121, -469.36,
 10:45:05.404,COM4, -177.246, -671.265,
 10:45:05.406,COM4, -109.985, -696.472,
 10:45:05.406,COM4, -29.724, -590.576,
 10:45:05.406,COM4, 5.127, -378.601,
 10:45:05.406,COM4, 56.946, -46.875,
 10:45:05.432,COM4, 185.059, 307.617,
 10:45:05.432,COM4, 377.136, 487,
 10:45:05.432,COM4, 332.275, 538.635,
 10:45:05.432,COM4, 85.144, 76.172,
 10:45:05.854,COM4, 278.381, 30.151,
 10:45:05.854,COM4, 278.809, 66.284,
 10:45:05.854,COM4, 141.418, -121.277,
 10:45:05.854,COM4, 37.354, -248.718,
 10:45:05.856,COM4, 65.674, -44.128,
 10:45:05.856,COM4, 50.903, 133.423,
 10:45:05.856,COM4, -64.209, -58.96,
 10:45:05.856,COM4, -54.016, -161.377,
 10:45:05.912,COM4, -36.926, -62.988,
 10:45:05.912,COM4, -24.048, 41.26,
 10:45:05.912,COM4, -41.87, -25.818,
 10:45:05.912,COM4, -81.238, -156.433,
 10:45:05.914,COM4, -131.592, -225.83,
 10:45:05.914,COM4, -158.203, -180.42,
 10:45:05.916,COM4, -188.843, -47.241,
 10:45:05.916,COM4, -244.324, 43.945,
 10:45:05.916,COM4, -253.662, 12.268,
 10:45:05.916,COM4, -250.732, 51.27,
 10:45:05.942,COM4, -242.004, 206.787,
 10:45:05.942,COM4, -226.562, 341.736,
 10:45:05.942,COM4, -189.758, 418.396,
 10:45:05.942,COM4, -143.25, 447.266,
 10:45:05.944,COM4, -102.478, 429.749,
 10:45:05.944,COM4, -84.656, 328.064,
 10:45:06.032,COM4, -60.669, 209.839,
 10:45:06.032,COM4, 12.024, 125.061,
 10:45:06.122,COM4, 30.579, 24.597,
 10:45:06.122,COM4, 26.062, -10.01,
 10:45:06.122,COM4, -4.272, 74.402,
 10:45:06.122,COM4, 24.475, 106.995,
 10:45:06.126,COM4, 46.997, 113.098,
 10:45:06.126,COM4, 118.591, 91.492,
 10:45:06.126,COM4, 57.434, 16.235,
 10:45:06.126,COM4, -6.104, 36.499,
 10:45:06.152,COM4, -5.554, 82.581,
 10:45:06.152,COM4, 20.02, 98.022,
