Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 18:32:04.200,COM4, -0.122, 0.122,
 18:32:04.200,COM4, -0.488, 0,
 18:32:04.290,COM4, -0.549, 0,
 18:32:04.290,COM4, -1.038, -0.061,
 18:32:04.290,COM4, -1.221, -0.244,
 18:32:04.290,COM4, -0.61, -0.488,
 18:32:04.320,COM4, 0.61, -1.77,
 18:32:04.320,COM4, 1.038, -1.343,
 18:32:04.350,COM4, 0.793, -0.732,
 18:32:04.350,COM4, 0.671, -0.366,
 18:32:04.380,COM4, 1.221, -0.549,
 18:32:04.380,COM4, 1.831, 0,
 18:32:04.470,COM4, 2.258, 0.488,
 18:32:04.470,COM4, 2.319, 0.732,
 18:32:04.500,COM4, 1.648, 0.977,
 18:32:04.500,COM4, 1.282, 0.793,
 18:32:04.500,COM4, 1.648, 0.793,
 18:32:04.500,COM4, 1.465, 0.732,
 18:32:04.560,COM4, 0.854, 0.488,
 18:32:04.560,COM4, 0, 0.244,
 18:32:04.590,COM4, -0.671, -0.122,
 18:32:04.590,COM4, -1.465, -0.488,
 18:32:04.678,COM4, -1.77, -0.549,
 18:32:04.678,COM4, -2.136, -0.732,
 18:32:04.680,COM4, -0.183, 0.183,
 18:32:04.680,COM4, 1.953, 0.671,
 18:32:04.710,COM4, 2.686, 1.099,
 18:32:04.710,COM4, 2.075, 1.343,
 18:32:04.828,COM4, 0.366, 1.404,
 18:32:04.828,COM4, -1.343, 1.282,
 18:32:04.830,COM4, -2.014, 1.099,
 18:32:04.830,COM4, -1.221, 1.404,
 18:32:04.832,COM4, -0.122, 2.014,
 18:32:04.833,COM4, 0.732, 2.258,
 18:32:04.888,COM4, 0.732, 2.136,
 18:32:04.888,COM4, 0, 1.77,
 18:32:04.920,COM4, -0.427, 1.038,
 18:32:04.920,COM4, 0.427, 1.282,
 18:32:04.950,COM4, 0.549, 1.526,
 18:32:04.950,COM4, 0.183, 1.343,
 18:32:05.068,COM4, -1.221, 0.305,
 18:32:05.068,COM4, -1.16, 0.061,
