Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 17:44:43.258,COM4, 0.061, 0,
 17:44:43.258,COM4, -1.526, -0.122,
 17:44:43.318,COM4, -5.615, -1.282,
 17:44:43.318,COM4, -5.737, -1.16,
 17:44:43.350,COM4, -2.869, 0.61,
 17:44:43.350,COM4, -0.793, 1.648,
 17:44:43.378,COM4, 1.343, 2.075,
 17:44:43.378,COM4, 3.052, 2.38,
 17:44:43.438,COM4, 3.906, 1.526,
 17:44:43.438,COM4, 2.808, 0.977,
 17:44:43.468,COM4, 1.77, 0.122,
 17:44:43.468,COM4, 2.38, -0.122,
 17:44:43.498,COM4, 3.418, 0.244,
 17:44:43.498,COM4, 3.967, 0.61,
 17:44:43.589,COM4, 3.845, 0.854,
 17:44:43.589,COM4, 3.662, 0.549,
 17:44:43.589,COM4, 3.54, 0.61,
 17:44:43.589,COM4, 3.906, 1.221,
 17:44:43.649,COM4, 4.333, 1.587,
 17:44:43.649,COM4, 3.357, 1.343,
 17:44:43.679,COM4, 1.465, 0.732,
 17:44:43.679,COM4, -0.61, 0,
 17:44:43.709,COM4, -2.563, -0.366,
 17:44:43.709,COM4, -3.601, -0.366,
 17:44:43.738,COM4, -3.174, -0.183,
 17:44:43.738,COM4, -0.793, 0.427,
 17:44:43.799,COM4, 1.099, 0.854,
 17:44:43.799,COM4, 1.892, 1.038,
 17:44:43.828,COM4, 2.319, 0.793,
 17:44:43.828,COM4, 2.808, 0.122,
 17:44:43.858,COM4, 3.723, 0.061,
 17:44:43.858,COM4, 4.089, 0.366,
 17:44:43.918,COM4, 2.686, -0.061,
 17:44:43.918,COM4, 1.038, 0,
 17:44:43.948,COM4, -0.122, -0.183,
 17:44:43.948,COM4, -0.183, -0.122,
 17:44:43.978,COM4, 0, -0.366,
 17:44:43.978,COM4, 0.122, -0.488,
 17:44:44.038,COM4, -0.671, -0.671,
 17:44:44.038,COM4, -1.526, -0.854,
 17:44:44.068,COM4, -0.671, -0.549,
 17:44:44.068,COM4, -0.122, -0.366,
 17:44:44.128,COM4, 0.061, -0.244,
 17:44:44.128,COM4, 0.977, 0,
 17:44:44.158,COM4, 1.343, 0.244,
 17:44:44.158,COM4, 1.038, 0.305,
 17:44:44.188,COM4, 0.671, 0,
 17:44:44.188,COM4, 0.366, -0.122,
 17:44:44.248,COM4, 0.671, 0.122,
 17:44:44.248,COM4, 0.61, 0,
 17:44:44.278,COM4, 1.16, -0.61,
 17:44:44.278,COM4, 3.784, -2.319,
 17:44:44.308,COM4, 6.653, -1.221,
 17:44:44.308,COM4, 6.775, -1.892,
 17:44:44.368,COM4, 6.714, -3.662,
 17:44:44.368,COM4, 4.272, -4.517,
 17:44:44.398,COM4, 4.333, -3.662,
 17:44:44.398,COM4, 5.432, -2.686,
 17:44:44.428,COM4, 3.052, -2.991,
 17:44:44.428,COM4, 0.732, -2.258,
 17:44:44.518,COM4, -1.282, -2.197,
 17:44:44.518,COM4, -1.77, -2.869,
 17:44:44.518,COM4, -1.038, -4.333,
 17:44:44.518,COM4, -3.174, -4.883,
 17:44:44.549,COM4, -7.385, -2.869,
 17:44:44.549,COM4, -10.315, -3.723,
 17:44:44.609,COM4, -12.085, -6.714,
 17:44:44.609,COM4, -11.292, -7.69,
 17:44:44.639,COM4, -10.498, -7.568,
 17:44:44.639,COM4, -27.283, 0.305,
 17:44:44.669,COM4, -54.749, 43.579,
 17:44:44.669,COM4, -99.976, 85.022,
 17:44:44.729,COM4, -140.686, 99.121,
 17:44:44.729,COM4, -202.026, 62.378,
 17:44:45.029,COM4, -337.402, -23.743,
 17:44:45.029,COM4, -627.869, -142.822,
 17:44:45.029,COM4, -616.455, 162.476,
 17:44:45.029,COM4, -263.977, 446.045,
 17:44:45.209,COM4, 3.845, 44.128,
 17:44:45.209,COM4, 59.021, 39.917,
 17:44:45.209,COM4, -78.064, 143.677,
 17:44:45.209,COM4, -136.169, 165.1,
 17:44:45.211,COM4, -231.812, 140.381,
 17:44:45.211,COM4, -376.16, 98.572,
 17:44:45.211,COM4, -469.971, 3.052,
 17:44:45.211,COM4, -488.159, -28.564,
 17:44:45.328,COM4, -492.249, 57.251,
 17:44:45.328,COM4, -563.477, 180.115,
 17:44:45.328,COM4, -694.946, 276.489,
 17:44:45.328,COM4, -825.562, 449.646,
 17:44:45.330,COM4, -936.89, 613.098,
 17:44:45.330,COM4, -746.826, 669.678,
 17:44:45.389,COM4, -177.124, 166.443,
 17:44:45.389,COM4, -101.257, -81.726,
 17:44:45.389,COM4, -102.661, 41.321,
 17:44:45.389,COM4, -87.097, -6.042,
 17:44:45.391,COM4, 30.762, -262.268,
 17:44:45.391,COM4, 100.342, -269.714,
 17:44:45.417,COM4, 58.716, -105.957,
 17:44:45.417,COM4, 109.924, -98.999,
 17:44:45.419,COM4, 207.642, -145.142,
 17:44:45.419,COM4, 281.372, -180.725,
 17:44:45.419,COM4, 325.5, -224.243,
 17:44:45.419,COM4, 373.901, -216.492,
 17:44:45.421,COM4, 386.353, -72.51,
 17:44:45.421,COM4, 376.953, 140.076,
