Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 08:40:20.662,COM4, 1.77, 1.465,
 08:40:20.662,COM4, 1.099, 0.549,
 08:40:20.662,COM4, 0, -0.793,
 08:40:20.662,COM4, -0.488, -0.122,
 08:40:20.664,COM4, -0.061, 1.038,
 08:40:20.664,COM4, -0.305, 0.732,
 08:40:20.666,COM4, -0.793, 0.61,
 08:40:20.666,COM4, -1.099, 0.366,
 08:40:20.666,COM4, -0.977, 0.732,
 08:40:20.666,COM4, -0.854, 0.671,
 08:40:20.842,COM4, -0.793, 0.549,
 08:40:20.842,COM4, -0.854, 0.793,
 08:40:20.842,COM4, -0.549, 0.671,
 08:40:20.842,COM4, -0.427, 0.854,
 08:40:20.846,COM4, -0.549, 0.732,
 08:40:20.846,COM4, 0, 0.366,
 08:40:20.846,COM4, -0.122, 0.488,
 08:40:20.846,COM4, 0.244, 0.427,
 08:40:20.872,COM4, 0.977, 0.061,
 08:40:20.872,COM4, 0.916, -0.244,
 08:40:20.872,COM4, 0.854, -0.183,
 08:40:20.872,COM4, 0.732, 0.183,
 08:40:20.874,COM4, 1.038, 0.366,
 08:40:20.874,COM4, 1.465, -0.671,
 08:40:20.876,COM4, 1.16, -0.854,
 08:40:20.876,COM4, 0.671, 0.122,
 08:40:20.932,COM4, 0.549, 0.732,
 08:40:20.932,COM4, 0.305, 0.61,
 08:40:20.932,COM4, 0.061, 0.305,
 08:40:20.932,COM4, -0.305, 0.183,
 08:40:20.934,COM4, -0.671, 0.366,
 08:40:20.934,COM4, -0.916, 0.854,
 08:40:20.936,COM4, -0.854, 0.793,
 08:40:20.936,COM4, -0.854, 0.732,
 08:40:20.936,COM4, -0.793, 0.916,
 08:40:20.936,COM4, -0.793, 0.671,
 08:40:21.084,COM4, -0.977, 0.671,
 08:40:21.084,COM4, -0.732, 0.732,
 08:40:21.084,COM4, -0.183, 0.732,
 08:40:21.084,COM4, 0.122, 0.61,
 08:40:21.086,COM4, 0.183, 0.305,
 08:40:21.086,COM4, -0.671, -0.183,
 08:40:21.232,COM4, -1.343, -0.549,
 08:40:21.232,COM4, -1.526, -0.183,
 08:40:21.234,COM4, -1.16, 0.122,
 08:40:21.234,COM4, -0.732, 0.549,
 08:40:21.234,COM4, -0.916, 0.488,
 08:40:21.234,COM4, -0.793, 0.427,
 08:40:21.236,COM4, -0.427, 0.549,
 08:40:21.236,COM4, 0, 0.122,
 08:40:21.292,COM4, 0.183, -0.305,
 08:40:21.292,COM4, 0.488, -0.488,
 08:40:21.294,COM4, 0.854, -0.671,
 08:40:21.294,COM4, 1.404, -1.221,
 08:40:21.504,COM4, 1.77, -2.869,
 08:40:21.504,COM4, 2.014, -4.761,
 08:40:21.504,COM4, 1.953, -5.188,
 08:40:21.504,COM4, 2.197, -4.333,
 08:40:21.506,COM4, 2.808, -3.967,
 08:40:21.506,COM4, 2.075, -4.944,
 08:40:21.506,COM4, -0.854, -1.77,
 08:40:21.506,COM4, -0.61, 1.404,
 08:40:21.592,COM4, 1.221, 1.953,
 08:40:21.592,COM4, 4.517, 2.502,
 08:40:21.594,COM4, 7.996, 2.686,
 08:40:21.594,COM4, 8.972, 4.944,
 08:40:21.596,COM4, 10.681, 4.272,
 08:40:21.596,COM4, 12.146, 4.578,
 08:40:21.653,COM4, 15.564, 2.502,
 08:40:21.653,COM4, 23.682, 1.77,
 08:40:21.713,COM4, 43.579, 17.578,
 08:40:21.713,COM4, 69.153, 59.265,
 08:40:21.713,COM4, 101.562, 96.619,
 08:40:21.713,COM4, 133.911, 115.784,
 08:40:21.743,COM4, 227.417, 49.744,
 08:40:21.743,COM4, 404.663, -126.038,
 08:40:21.803,COM4, 677.49, -242.188,
 08:40:21.803,COM4, 311.951, 171.387,
 08:40:21.833,COM4, -34.18, 291.931,
 08:40:21.833,COM4, -41.748, 82.703,
 08:40:21.863,COM4, -54.626, 243.652,
 08:40:21.863,COM4, 55.115, 266.846,
 08:40:21.923,COM4, 183.228, 275.208,
 08:40:21.923,COM4, 401.794, 294.861,
 08:40:22.342,COM4, 491.76, -11.78,
 08:40:22.342,COM4, 488.708, -145.264,
 08:40:22.402,COM4, 519.897, -50.11,
 08:40:22.402,COM4, 624.573, 157.532,
 08:40:22.404,COM4, 815.491, 445.984,
 08:40:22.404,COM4, 968.201, 574.89,
 08:40:22.406,COM4, 885.254, 577.026,
 08:40:22.406,COM4, 248.535, 366.15,
 08:40:22.612,COM4, 182.373, 35.645,
 08:40:22.612,COM4, 178.833, -189.514,
 08:40:22.612,COM4, 33.081, -113.586,
