Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 17:49:17.256,COM4, 0.122, -0.549,
 17:49:17.256,COM4, -0.122, -0.366,
 17:49:17.288,COM4, 0, -0.427,
 17:49:17.288,COM4, 0, -0.244,
 17:49:17.318,COM4, 1.038, -0.488,
 17:49:17.318,COM4, 0.61, -0.244,
 17:49:17.378,COM4, -0.122, -0.183,
 17:49:17.378,COM4, -0.122, -0.122,
 17:49:17.408,COM4, 0.305, -0.183,
 17:49:17.408,COM4, -0.183, -0.366,
 17:49:17.468,COM4, -0.61, -0.244,
 17:49:17.468,COM4, -1.038, 0,
 17:49:17.498,COM4, -1.343, 0.061,
 17:49:17.498,COM4, -0.671, 0.244,
 17:49:17.528,COM4, -0.427, 0.366,
 17:49:17.528,COM4, -0.244, 0.244,
 17:49:17.588,COM4, 0.061, 0.427,
 17:49:17.588,COM4, -0.061, 0.305,
 17:49:17.618,COM4, 0.122, 0.305,
 17:49:17.618,COM4, 0.305, 0.488,
 17:49:17.646,COM4, 0.244, 0.488,
 17:49:17.646,COM4, 0, 0.061,
 17:49:17.708,COM4, 0.488, 0.183,
 17:49:17.708,COM4, 0.916, 0.244,
 17:49:17.738,COM4, 1.343, 0.183,
 17:49:17.738,COM4, 0.732, 0,
 17:49:17.768,COM4, 0.183, 0.244,
 17:49:17.768,COM4, 0.244, 0.183,
 17:49:17.828,COM4, 0.244, 0.305,
 17:49:17.828,COM4, 0, 0,
 17:49:17.858,COM4, 0.122, 0.122,
 17:49:17.858,COM4, -0.305, 0,
 17:49:17.918,COM4, -0.549, -0.122,
 17:49:17.918,COM4, -0.305, -0.366,
 17:49:17.946,COM4, 0, -0.366,
 17:49:17.946,COM4, 0.61, -0.305,
 17:49:17.978,COM4, 0.61, -0.305,
 17:49:17.978,COM4, 0.488, -0.305,
 17:49:18.008,COM4, 0.549, -0.549,
 17:49:18.009,COM4, 1.099, -0.488,
 17:49:18.067,COM4, 1.465, -0.488,
 17:49:18.067,COM4, 0.916, -0.305,
 17:49:18.097,COM4, 1.038, -0.061,
 17:49:18.097,COM4, 0.854, 0.122,
 17:49:18.127,COM4, 0.916, 0.305,
 17:49:18.127,COM4, 0.305, 0.305,
 17:49:18.187,COM4, -0.061, 0.549,
 17:49:18.187,COM4, 0, 0.671,
 17:49:18.217,COM4, 0.366, 0.61,
 17:49:18.217,COM4, 0.366, 0.671,
 17:49:18.247,COM4, 0.122, 0.549,
 17:49:18.247,COM4, -0.488, 0.549,
 17:49:18.307,COM4, -0.183, 0.61,
 17:49:18.307,COM4, -0.427, 0.244,
 17:49:18.337,COM4, -1.892, 0.061,
