Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 12:45:40.705,COM4, 0.061, 0,
 12:45:40.706,COM4, 0.366, 0,
 12:45:40.707,COM4, 0.854, -0.122,
 12:45:40.707,COM4, 0.977, -0.366,
 12:45:40.733,COM4, 0.366, -0.427,
 12:45:40.733,COM4, 0.427, -0.61,
 12:45:40.794,COM4, -0.183, -0.549,
 12:45:40.794,COM4, 0.793, -1.099,
 12:45:40.822,COM4, 2.869, -1.831,
 12:45:40.822,COM4, 4.211, -2.319,
 12:45:40.884,COM4, 4.211, -2.441,
 12:45:40.884,COM4, 4.272, -2.625,
 12:45:40.912,COM4, 4.211, -2.625,
 12:45:40.912,COM4, 4.15, -2.808,
 12:45:40.942,COM4, 4.272, -3.174,
 12:45:40.942,COM4, 3.357, -3.052,
 12:45:41.004,COM4, 2.563, -2.686,
 12:45:41.004,COM4, 2.38, -2.563,
 12:45:41.032,COM4, 2.625, -2.686,
 12:45:41.032,COM4, 3.113, -3.052,
 12:45:41.063,COM4, 3.235, -2.93,
 12:45:41.063,COM4, 2.441, -2.747,
 12:45:41.123,COM4, 0.122, -2.014,
 12:45:41.123,COM4, -0.916, -1.648,
 12:45:41.153,COM4, -1.282, -2.075,
 12:45:41.153,COM4, -1.526, -2.38,
 12:45:41.182,COM4, -1.221, -2.502,
 12:45:41.182,COM4, -0.793, -2.502,
 12:45:41.242,COM4, -0.61, -1.953,
 12:45:41.242,COM4, -0.61, -1.465,
 12:45:41.272,COM4, -2.075, -1.221,
 12:45:41.272,COM4, -2.136, -1.16,
 12:45:41.302,COM4, -0.793, -1.099,
 12:45:41.302,COM4, -0.916, -0.977,
 12:45:41.364,COM4, 0, -1.038,
 12:45:41.364,COM4, 1.099, -1.404,
 12:45:41.392,COM4, 1.953, -1.77,
 12:45:41.392,COM4, 1.038, -1.648,
 12:45:41.424,COM4, 0.793, -1.831,
 12:45:41.424,COM4, -0.977, -1.709,
 12:45:41.484,COM4, -3.113, -1.282,
 12:45:41.484,COM4, -3.113, -1.465,
 12:45:41.513,COM4, -2.563, -1.648,
 12:45:41.513,COM4, -1.831, -1.77,
 12:45:41.543,COM4, -1.465, -1.465,
 12:45:41.543,COM4, -1.282, -1.099,
 12:45:41.603,COM4, -1.282, -1.221,
 12:45:41.603,COM4, -3.296, -0.549,
 12:45:41.633,COM4, -4.456, 0,
 12:45:41.633,COM4, -3.357, 0,
 12:45:41.664,COM4, -2.502, -0.061,
 12:45:41.664,COM4, -2.502, 0.061,
 12:45:41.724,COM4, -1.404, 0.061,
 12:45:41.724,COM4, -0.732, 0.183,
 12:45:41.754,COM4, -0.244, 0.427,
 12:45:41.754,COM4, 1.16, 0.244,
 12:45:41.784,COM4, 3.235, -0.061,
 12:45:41.784,COM4, 5.493, -0.549,
 12:45:41.844,COM4, 7.507, -0.916,
 12:45:41.844,COM4, 11.536, -1.831,
 12:45:41.872,COM4, 12.207, -1.953,
 12:45:41.872,COM4, 11.292, -1.221,
 12:45:41.903,COM4, 13.367, -1.404,
 12:45:41.903,COM4, 15.259, -1.892,
 12:45:41.963,COM4, 17.761, -3.235,
 12:45:41.963,COM4, 19.775, -5.127,
 12:45:41.993,COM4, 28.687, -6.775,
 12:45:41.993,COM4, 38.757, -8.789,
 12:45:42.023,COM4, 50.537, -14.282,
 12:45:42.023,COM4, 53.772, -24.597,
 12:45:42.083,COM4, 49.011, -43.701,
 12:45:42.083,COM4, 58.594, -65.186,
 12:45:42.113,COM4, 63.171, -94.788,
 12:45:42.113,COM4, 47.241, -109.619,
 12:45:42.234,COM4, 19.653, -57.19,
 12:45:42.234,COM4, -1.587, 49.5,
 12:45:42.236,COM4, -48.462, 49.438,
 12:45:42.236,COM4, -71.411, 44.983,
 12:45:42.236,COM4, -90.454, 30.334,
 12:45:42.236,COM4, -91.675, 22.461,
 12:45:42.294,COM4, -76.843, 15.991,
 12:45:42.294,COM4, -67.688, 10.498,
 12:45:42.322,COM4, -67.322, 10.376,
 12:45:42.322,COM4, -62.5, 5.981,
 12:45:42.352,COM4, -52.917, -18.555,
 12:45:42.352,COM4, -53.467, -59.021,
 12:45:42.413,COM4, -38.086, -94.177,
 12:45:42.413,COM4, -21.606, -102.478,
 12:45:42.443,COM4, -16.235, -108.459,
 12:45:42.443,COM4, -17.273, -123.901,
 12:45:42.473,COM4, -1.892, -140.381,
 12:45:42.473,COM4, 17.578, -149.414,
 12:45:42.533,COM4, 11.78, -180.176,
 12:45:42.533,COM4, 15.869, -251.343,
 12:45:42.833,COM4, 9.644, -341.003,
 12:45:42.833,COM4, 3.906, -278.87,
 12:45:42.923,COM4, 4.639, -36.499,
 12:45:42.923,COM4, 0.488, 302.002,
 12:45:42.927,COM4, 65.063, 546.509,
 12:45:42.927,COM4, 124.939, 557.8,
 12:45:42.927,COM4, 48.035, 190.796,
 12:45:42.927,COM4, 213.013, -4.089,
 12:45:42.929,COM4, 250.244, 70.496,
 12:45:42.929,COM4, 112.488, 92.041,
 12:45:42.953,COM4, -0.549, -139.282,
