Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 10:40:50.160,COM4, 32.898, -28.564,
 10:40:50.161,COM4, 24.78, -31.555,
 10:40:50.161,COM4, 7.141, -29.846,
 10:40:50.161,COM4, -13.184, -23.926,
 10:40:50.161,COM4, -30.151, -17.029,
 10:40:50.161,COM4, -41.199, -15.564,
 10:40:50.166,COM4, -45.593, -18.921,
 10:40:50.166,COM4, -32.959, 24.17,
 10:40:50.850,COM4, -20.203, 6.836,
 10:40:50.850,COM4, -2.197, -16.479,
 10:40:50.852,COM4, 6.958, -28.564,
 10:40:50.852,COM4, -10.742, 43.762,
 10:40:50.854,COM4, -24.292, 46.448,
 10:40:50.854,COM4, -31.982, -29.053,
 10:40:50.940,COM4, -20.996, -30.579,
 10:40:50.940,COM4, -22.278, -31.311,
 10:40:50.940,COM4, -25.085, -34.424,
 10:40:50.940,COM4, -25.574, -39.673,
 10:40:50.942,COM4, -23.315, -41.443,
 10:40:50.942,COM4, -12.146, -13.733,
 10:40:50.944,COM4, -7.69, -12.573,
 10:40:50.944,COM4, 25.696, 38.269,
 10:40:51.060,COM4, 25.513, 34.912,
 10:40:51.060,COM4, 10.864, 38.696,
 10:40:51.062,COM4, 1.465, 42.297,
 10:40:51.062,COM4, 5.676, 43.213,
 10:40:51.062,COM4, 9.949, 43.884,
 10:40:51.062,COM4, 16.846, 44.067,
 10:40:51.064,COM4, 22.278, 45.166,
 10:40:51.064,COM4, -6.653, 13,
 10:40:51.066,COM4, -6.897, 16.602,
 10:40:51.066,COM4, -10.01, 17.517,
 10:40:51.272,COM4, -9.46, 15.625,
 10:40:51.272,COM4, -4.944, 9.521,
 10:40:51.272,COM4, -0.61, 2.686,
 10:40:51.272,COM4, 0.854, -0.916,
 10:40:51.274,COM4, -3.479, 0.549,
 10:40:51.274,COM4, -12.39, 1.587,
 10:40:51.300,COM4, -17.517, 1.526,
 10:40:51.300,COM4, -17.09, 0.366,
 10:40:51.300,COM4, -17.273, -4.7,
 10:40:51.300,COM4, -19.592, -9.155,
 10:40:51.302,COM4, -21.729, -9.46,
 10:40:51.302,COM4, -22.644, -8.484,
 10:40:51.304,COM4, -24.658, -6.531,
 10:40:51.304,COM4, -22.156, -2.38,
 10:40:51.304,COM4, -16.174, -0.244,
 10:40:51.304,COM4, -7.263, 0.122,
 10:40:51.780,COM4, 1.892, -1.465,
 10:40:51.780,COM4, 4.089, -3.418,
 10:40:51.784,COM4, 1.282, -5.066,
 10:40:51.784,COM4, -15.686, -3.235,
 10:40:51.840,COM4, -31.799, -1.221,
 10:40:51.840,COM4, -29.785, -2.319,
 10:40:51.842,COM4, -21.912, -9.094,
 10:40:51.842,COM4, -17.761, -12.573,
 10:40:51.844,COM4, -19.226, -14.954,
 10:40:51.844,COM4, -27.771, -18.677,
 10:40:51.844,COM4, -46.814, -22.217,
 10:40:51.844,COM4, -65.857, -19.287,
 10:40:52.290,COM4, -70.618, -16.785,
 10:40:52.290,COM4, -70.923, -22.888,
 10:40:52.799,COM4, -90.759, -36.194,
 10:40:52.799,COM4, -110.84, -43.274,
 10:40:52.801,COM4, -101.257, -43.274,
 10:40:52.801,COM4, -44.8, -48.157,
 10:40:52.801,COM4, 19.409, -63.049,
 10:40:52.801,COM4, 51.819, -88.379,
 10:40:52.803,COM4, 58.35, -109.985,
 10:40:52.803,COM4, 79.102, -97.351,
 10:40:52.859,COM4, 174.5, -38.818,
 10:40:52.859,COM4, -160.95, 78.247,
 10:40:52.861,COM4, -19.592, -17.212,
 10:40:52.861,COM4, -212.341, -579.224,
 10:40:52.891,COM4, -222.29, -1142.029,
 10:40:52.891,COM4, 52.124, -1059.753,
 10:40:52.893,COM4, -1201.05, -264.587,
 10:40:52.893,COM4, 1344.604, 689.758,
 10:40:52.893,COM4, 335.815, 562.073,
 10:40:52.893,COM4, 299.622, 451.355,
 10:40:52.895,COM4, 365.906, 455.627,
 10:40:52.895,COM4, 264.16, 450.684,
 10:40:53.551,COM4, 57.007, 378.662,
 10:40:53.551,COM4, -73.242, 10.132,
 10:40:53.611,COM4, -94.849, 10.986,
 10:40:53.611,COM4, 359.192, 578.43,
 10:40:53.611,COM4, 109.009, 522.705,
 10:40:53.611,COM4, -188.477, 366.028,
 10:40:53.613,COM4, -136.414, 247.62,
 10:40:53.613,COM4, -16.907, 263.611,
 10:40:53.669,COM4, 81.36, 181.824,
 10:40:53.669,COM4, -78.674, -146.423,
 10:40:53.759,COM4, -243.896, -202.271,
 10:40:53.759,COM4, -167.297, -109.985,
 10:40:53.791,COM4, -92.773, -32.41,
 10:40:53.791,COM4, -90.332, 19.348,
 10:40:53.791,COM4, -71.472, 81.543,
 10:40:53.791,COM4, -52.063, 96.863,
 10:40:53.793,COM4, -24.414, 82.092,
 10:40:53.793,COM4, -35.767, 50.72,
 10:40:53.793,COM4, -91.98, 57.007,
 10:40:53.793,COM4, -120.361, 67.749,
 10:40:53.819,COM4, -121.704, 32.288,
 10:40:53.819,COM4, -110.962, -6.287,
 10:40:54.061,COM4, -106.873, -48.828,
 10:40:54.061,COM4, 250.916, 470.154,
 10:40:54.063,COM4, 210.388, 470.398,
 10:40:54.063,COM4, -78.674, 242.615,
 10:40:54.063,COM4, -17.456, 202.576,
 10:40:54.063,COM4, 22.156, 198.547,
 10:40:54.065,COM4, 16.663, 59.265,
 10:40:54.065,COM4, -130.737, -213.867,
 10:40:54.271,COM4, -109.192, -258.179,
 10:40:54.271,COM4, -27.954, -133.484,
