Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 18:12:49.223,COM4, 3.357, -6.836,
 18:12:49.224,COM4, 2.258, -10.376,
 18:12:49.250,COM4, 3.723, -3.052,
 18:12:49.250,COM4, 7.935, 2.808,
 18:12:49.310,COM4, 10.193, 4.944,
 18:12:49.310,COM4, 14.221, 9.644,
 18:12:49.340,COM4, -3.54, 12.573,
 18:12:49.340,COM4, -5.066, 23.132,
 18:12:49.400,COM4, -6.592, 31.433,
 18:12:49.400,COM4, -22.949, 39.368,
 18:12:49.402,COM4, -20.447, 49.072,
 18:12:49.402,COM4, 12.817, 61.768,
 18:12:49.460,COM4, 17.517, 68.787,
 18:12:49.460,COM4, 4.211, 75.867,
 18:12:49.490,COM4, -17.029, 91.431,
 18:12:49.490,COM4, -16.602, 98.572,
 18:12:49.668,COM4, 3.723, 86.243,
 18:12:49.668,COM4, 32.532, 65.674,
 18:12:49.670,COM4, 43.701, 63.354,
 18:12:49.670,COM4, 38.025, 74.829,
 18:12:49.672,COM4, 29.846, 73.669,
 18:12:49.672,COM4, 37.476, 66.162,
 18:12:49.672,COM4, 55.054, 62.134,
 18:12:49.672,COM4, 61.279, 60.791,
 18:12:49.700,COM4, 57.373, 61.523,
 18:12:49.700,COM4, 59.387, 68.726,
 18:12:49.730,COM4, 67.2, 77.576,
 18:12:49.730,COM4, 70.74, 78.918,
 18:12:49.822,COM4, 72.571, 84.473,
 18:12:49.822,COM4, 80.139, 95.703,
 18:12:49.939,COM4, 98.938, 110.168,
 18:12:49.939,COM4, 104.98, 115.479,
 18:12:49.939,COM4, 94.177, 118.958,
 18:12:49.939,COM4, 72.205, 131.836,
 18:12:49.943,COM4, 53.772, 139.709,
 18:12:49.943,COM4, 49.194, 146.667,
 18:12:50.029,COM4, 60.242, 146.423,
 18:12:50.029,COM4, 78.43, 146.606,
 18:12:50.031,COM4, 80.872, 151.245,
 18:12:50.031,COM4, 62.927, 156.677,
 18:12:50.033,COM4, 43.152, 156.006,
 18:12:50.033,COM4, 41.138, 159.424,
 18:12:50.119,COM4, 57.922, 156.86,
 18:12:50.119,COM4, 74.402, 157.959,
 18:12:50.121,COM4, 67.505, 155.823,
 18:12:50.121,COM4, 45.532, 154.785,
 18:12:50.121,COM4, 43.579, 158.813,
 18:12:50.121,COM4, 53.101, 158.691,
 18:12:50.179,COM4, 65.613, 159.363,
 18:12:50.179,COM4, 72.266, 159.18,
 18:12:50.689,COM4, 72.449, 160.95,
 18:12:50.689,COM4, 66.65, 154.907,
 18:12:50.721,COM4, 65.613, 145.02,
 18:12:50.721,COM4, 72.815, 138.977,
 18:12:50.721,COM4, 93.079, 135.437,
 18:12:50.721,COM4, 114.075, 126.892,
 18:12:50.723,COM4, 122.62, 113.953,
 18:12:50.723,COM4, 134.827, 95.52,
 18:12:50.869,COM4, 141.174, 74.646,
 18:12:50.869,COM4, 145.081, 64.453,
 18:12:50.871,COM4, 141.296, 50.537,
 18:12:50.871,COM4, 116.089, 39.673,
 18:12:50.871,COM4, 80.444, 30.945,
 18:12:50.871,COM4, 55.603, 19.653,
 18:12:50.873,COM4, 45.105, 4.822,
 18:12:50.873,COM4, 35.4, -6.775,
 18:12:50.875,COM4, 22.278, -12.39,
 18:12:50.875,COM4, 6.104, -13.611,
 18:12:50.959,COM4, -7.08, -16.968,
 18:12:50.959,COM4, -15.93, -15.381,
 18:12:50.961,COM4, -10.315, -12.451,
 18:12:50.961,COM4, 1.16, -9.766,
 18:12:50.961,COM4, -3.479, -7.996,
 18:12:50.961,COM4, -0.488, -6.592,
 18:12:50.965,COM4, -10.315, -3.296,
 18:12:50.965,COM4, -9.705, -3.845,
 18:12:51.079,COM4, -1.77, -6.042,
 18:12:51.079,COM4, 0.305, -7.08,
 18:12:51.081,COM4, -6.958, -6.775,
 18:12:51.081,COM4, -11.353, -4.578,
 18:12:51.081,COM4, -11.047, -3.662,
 18:12:51.081,COM4, -3.357, -4.578,
 18:12:51.083,COM4, 0.244, -6.348,
 18:12:51.083,COM4, -5.859, -6.531,
 18:12:51.083,COM4, -11.169, -5.798,
 18:12:51.083,COM4, -14.954, -6.348,
 18:12:51.111,COM4, -17.273, -9.094,
 18:12:51.111,COM4, -19.287, -13.977,
