Time,Device name,Angular velocity X(°/s),Angular velocity Z(°/s)
 17:41:09.925,COM4, 2.502, -10.437,
 17:41:09.926,COM4, 14.404, -6.104,
 17:41:10.223,COM4, 35.095, -1.221,
 17:41:10.223,COM4, 29.724, -10.01,
 17:41:10.461,COM4, -14.832, -26.428,
 17:41:10.461,COM4, -37.659, 12.756,
 17:41:10.523,COM4, 21.79, 96.558,
 17:41:10.523,COM4, 32.837, 187.988,
 17:41:10.553,COM4, 45.898, 261.536,
 17:41:10.553,COM4, 82.397, 291.87,
 17:41:10.553,COM4, 153.32, 292.908,
 17:41:10.553,COM4, 210.938, 282.654,
 17:41:10.555,COM4, 226.013, 276.855,
 17:41:10.555,COM4, 210.449, 291.321,
 17:41:10.557,COM4, 175.171, 305.725,
 17:41:10.557,COM4, 138.489, 300.171,
 17:41:13.970,COM4, 112.183, 289.856,
 17:41:13.970,COM4, 119.629, 263.672,
 17:41:13.975,COM4, 136.292, 220.886,
 17:41:13.975,COM4, 132.141, 208.923,
 17:41:13.975,COM4, 92.468, 208.618,
 17:41:13.975,COM4, 52.368, 210.632,
 17:41:13.977,COM4, 46.082, 222.107,
 17:41:13.977,COM4, 52.307, 201.538,
 17:41:14.091,COM4, 63.66, 181.641,
 17:41:14.091,COM4, 69.092, 187.866,
 17:41:14.092,COM4, 87.646, 168.152,
 17:41:14.092,COM4, 54.932, 78.064,
 17:41:14.095,COM4, 21.729, 49.622,
 17:41:14.095,COM4, 14.221, 24.292,
 17:41:14.095,COM4, 31.738, -4.211,
 17:41:14.095,COM4, 18.616, -15.93,
 17:41:14.121,COM4, 15.259, -11.475,
 17:41:14.121,COM4, 13.489, -15.259,
 17:41:14.123,COM4, 18.921, -20.02,
 17:41:14.123,COM4, -0.244, -16.418,
 17:41:14.123,COM4, -16.113, -11.841,
 17:41:14.123,COM4, -6.958, -10.071,
 17:41:14.127,COM4, 0.549, -13.489,
 17:41:14.127,COM4, 17.7, -25.085,
 17:41:14.303,COM4, 139.893, -29.602,
 17:41:14.303,COM4, 290.039, -5.432,
 17:41:14.303,COM4, 361.877, 18.616,
 17:41:14.303,COM4, 410.034, 22.644,
 17:41:14.304,COM4, 519.653, 29.846,
 17:41:14.304,COM4, 651.917, 87.708,
 17:41:14.304,COM4, 628.54, 218.75,
 17:41:14.304,COM4, 495.85, 233.765,
 17:41:14.331,COM4, 324.646, 229.492,
 17:41:14.331,COM4, 238.098, 247.681,
 17:41:14.333,COM4, 154.053, 273.987,
 17:41:14.333,COM4, 60.913, 277.283,
 17:41:14.333,COM4, 25.757, 283.813,
 17:41:14.333,COM4, -2.563, 266.541,
 17:41:14.337,COM4, -93.567, 246.155,
 17:41:14.337,COM4, -170.288, 220.703,
 17:41:14.483,COM4, -43.091, 188.11,
 17:41:14.483,COM4, -10.376, 137.39,
 17:41:14.483,COM4, -33.508, 98.328,
 17:41:14.483,COM4, -49.622, 57.983,
 17:41:14.485,COM4, -9.705, 44.434,
 17:41:14.485,COM4, 17.517, 28.137,
 17:41:14.513,COM4, -17.578, 15.625,
 17:41:14.513,COM4, -35.461, 6.47,
 17:41:14.543,COM4, -68.054, 10.986,
 17:41:14.543,COM4, -104.614, 37.292,
 17:41:14.573,COM4, -166.748, 78.857,
 17:41:14.573,COM4, -231.445, 129.578,
 17:41:16.254,COM4, -248.718, 173.096,
 17:41:16.254,COM4, -210.144, 208.435,
 17:41:17.300,COM4, -206.177, 230.835,
 17:41:17.300,COM4, -216.858, 207.825,
 17:41:17.572,COM4, -151.184, 167.847,
 17:41:17.572,COM4, -23.01, 108.643,
 17:41:17.572,COM4, 22.583, 72.144,
 17:41:17.572,COM4, -2.441, 53.528,
 17:41:17.574,COM4, -40.771, 36.499,
 17:41:17.574,COM4, -34.79, 20.508,
 17:41:17.576,COM4, -3.113, 13.55,
 17:41:17.576,COM4, 6.348, 8.301,
 17:41:17.632,COM4, 4.028, 10.803,
 17:41:17.632,COM4, -19.287, 14.404,
 17:41:17.632,COM4, -32.593, 14.16,
 17:41:17.632,COM4, -14.771, 9.827,
 17:41:17.634,COM4, 20.386, -0.366,
 17:41:17.634,COM4, 26.367, -4.395,
 17:41:17.636,COM4, -19.531, 6.042,
 17:41:17.636,COM4, -45.227, 11.292,
 17:41:17.636,COM4, -32.593, 2.258,
 17:41:17.636,COM4, 0.488, -7.263,
 17:41:17.872,COM4, 24.048, -12.634,
 17:41:17.872,COM4, -111.206, 27.161,
 17:41:17.872,COM4, 3.174, 6.958,
 17:41:17.872,COM4, -200.562, -1022.888,
 17:41:17.875,COM4, 361.755, -1406.921,
 17:41:17.875,COM4, 27.466, -82.275,
 17:41:17.877,COM4, 116.821, 24.414,
 17:41:17.877,COM4, 6.653, 98.816,
 17:41:17.903,COM4, -163.025, 118.835,
 17:41:17.903,COM4, -115.112, 110.779,
 17:41:18.411,COM4, -48.401, 75.806,
 17:41:18.411,COM4, -35.461, 35.4,
 17:41:18.411,COM4, -16.357, 7.507,
 17:41:18.411,COM4, -57.556, 7.385,
 17:41:18.414,COM4, -110.535, 10.193,
 17:41:18.414,COM4, -112.671, -12.207,
 17:41:18.416,COM4, -104.553, -54.504,
 17:41:18.416,COM4, -104.431, -59.814,
 17:41:18.418,COM4, -107.483, -43.579,
 17:41:18.418,COM4, -95.276, -46.082,
 17:41:18.443,COM4, -75.806, -85.205,
 17:41:18.443,COM4, -76.233, -117.31,
 17:41:18.443,COM4, -116.15, -89.478,
 17:41:18.443,COM4, -128.479, -60.608,
 17:41:18.446,COM4, -83.191, -64.697,
 17:41:18.446,COM4, -22.949, -61.035,
 17:41:18.773,COM4, 31.86, -23.804,
 17:41:18.773,COM4, 155.64, 91.98,
 17:41:18.773,COM4, 289.551, 260.864,
 17:41:18.773,COM4, 243.958, 355.469,
 17:41:18.775,COM4, -45.471, 319.336,
 17:41:18.775,COM4, -70.435, 136.78,
 17:41:18.951,COM4, -14.282, -672.668,
 17:41:18.951,COM4, -43.64, -172.302,
 17:41:18.953,COM4, 53.101, -38.635,
 17:41:18.953,COM4, -26.672, 34.302,
 17:41:18.956,COM4, -104.126, 42.725,
 17:41:18.956,COM4, -52.795, 18.616,
 17:41:18.956,COM4, -23.132, 10.498,
 17:41:18.956,COM4, -17.334, 0.549,
 17:41:18.957,COM4, -62.561, -12.39,
 17:41:18.957,COM4, -77.393, -47.363,
 17:41:18.982,COM4, -73.486, -75.256,
 17:41:18.982,COM4, -92.407, -83.984,
 17:41:18.983,COM4, -121.216, -78.857,
 17:41:18.983,COM4, -130.737, -84.045,
 17:41:18.983,COM4, -115.234, -91.064,
 17:41:18.983,COM4, -102.051, -100.281,
 17:41:18.986,COM4, -92.834, -99.67,
 17:41:18.986,COM4, -98.267, -96.008,
 17:41:19.012,COM4, -96.191, -104.736,
 17:41:19.012,COM4, -87.769, -100.342,
 17:41:19.162,COM4, -73.608, -80.688,
 17:41:19.162,COM4, -68.115, -86.548,
 17:41:19.162,COM4, -99.792, -80.75,
 17:41:19.162,COM4, -36.011, -41.687,
 17:41:19.164,COM4, -41.382, -38.513,
 17:41:19.164,COM4, -52.856, -35.95,
 17:41:19.166,COM4, -50.354, -36.804,
 17:41:19.166,COM4, -40.955, -28.931,
 17:41:19.166,COM4, -45.105, -33.813,
 17:41:19.166,COM4, -58.777, -42.236,
 17:41:19.281,COM4, -78.796, -55.847,
 17:41:19.281,COM4, -98.938, -76.782,
 17:41:19.283,COM4, -133.118, -91.98,
 17:41:19.283,COM4, -135.925, -100.281,
 17:41:19.286,COM4, -112.854, -140.076,
 17:41:19.286,COM4, -123.657, -208.313,
 17:41:19.286,COM4, -286.682, -257.996,
 17:41:19.286,COM4, -230.103, -256.653,
 17:41:19.372,COM4, -164.856, -246.887,
 17:41:19.372,COM4, -203.369, -281.311,
 17:41:19.374,COM4, -224.915, -323.059,
 17:41:19.374,COM4, -132.446, -306.885,
 17:41:19.374,COM4, -76.721, -227.173,
 17:41:19.374,COM4, -86.853, -153.442,
 17:41:19.404,COM4, -131.042, -116.76,
 17:41:19.404,COM4, -88.806, -97.351,
 17:41:19.524,COM4, -5.981, -81.299,
 17:41:19.524,COM4, 41.687, -52.49,
 17:41:19.524,COM4, 33.691, -17.822,
 17:41:19.524,COM4, -21.24, -2.991,
 17:41:19.526,COM4, -9.888, -7.568,
 17:41:19.526,COM4, 34.668, -0.671,
 17:41:19.612,COM4, 27.649, 14.954,
 17:41:19.612,COM4, -26.917, 12.634,
 17:41:19.614,COM4, -30.334, 1.465,
 17:41:19.614,COM4, 4.883, 4.395,
 17:41:19.731,COM4, 25.269, 12.451,
 17:41:19.731,COM4, -10.376, 19.836,
 17:41:19.734,COM4, -35.156, 30.579,
 17:41:19.734,COM4, -20.142, 34.119,
 17:41:19.736,COM4, 10.742, 27.466,
 17:41:19.736,COM4, 0.488, 19.531,
 17:41:19.765,COM4, 14.282, 2.075,
 17:41:19.765,COM4, 31.677, -8.545,
 17:41:20.361,COM4, -9.46, -0.488,
 17:41:20.378,COM4, -38.086, 8.179,
 17:41:20.378,COM4, -7.568, 4.15,
 17:41:20.378,COM4, 5.737, -20.996,
 17:41:20.378,COM4, 4.822, -51.941,
 17:41:20.378,COM4, 18.127, -44.373,
 17:41:20.378,COM4, 11.536, -5.798,
 17:41:20.378,COM4, -11.719, 3.174,
 17:41:20.391,COM4, -9.155, -9.338,
 17:41:20.391,COM4, -8.301, -36.865,
 17:41:20.393,COM4, 6.287, -54.26,
 17:41:20.393,COM4, 14.954, -57.8,
 17:41:20.395,COM4, 15.808, -39.551,
 17:41:20.395,COM4, 4.7, -18.372,
 17:41:20.395,COM4, 1.831, -4.761,
 17:41:20.395,COM4, 21.057, 10.986,
 17:41:20.542,COM4, 20.996, 30.334,
 17:41:20.542,COM4, -11.719, 49.194,
 17:41:20.542,COM4, -17.822, 32.166,
 17:41:20.542,COM4, 0.122, -11.353,
 17:41:20.544,COM4, 22.339, -49.866,
 17:41:20.544,COM4, 35.95, -31.25,
 17:41:20.546,COM4, 4.639, -19.226,
 17:41:20.546,COM4, -29.236, 21.79,
 17:41:20.632,COM4, -7.935, 22.888,
 17:41:20.632,COM4, 17.7, 26.001,
 17:41:20.872,COM4, 2.625, 11.536,
 17:41:20.872,COM4, -1.343, -8.362,
 17:41:20.872,COM4, 8.179, 0.671,
 17:41:20.872,COM4, 7.69, 9.705,
 17:41:20.874,COM4, -2.869, 3.479,
 17:41:20.874,COM4, -0.916, -3.235,
 17:41:20.934,COM4, -2.991, -12.207,
 17:41:20.934,COM4, -0.366, -15.198,
 17:41:20.934,COM4, 7.996, -8.423,
 17:41:20.934,COM4, 5.92, 2.258,
 17:41:20.938,COM4, -0.549, -1.038,
 17:41:20.938,COM4, -0.183, -4.883,
 17:41:20.963,COM4, 3.296, -3.54,
 17:41:20.963,COM4, 7.385, 2.808,
 17:41:20.963,COM4, 3.601, -0.732,
 17:41:20.963,COM4, 2.625, -2.502,
 17:41:20.965,COM4, -2.625, 0,
